date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-07-07,466244,350506.0,115738.0,7250.0,6496.0,754.0,397.0,5.0,,225.0,172.0,5.0,0.0,76.0,36.0,40.0,5.0
2021-07-06,465913,350334.0,115579.0,7245.0,6491.0,754.0,87.0,3.0,,52.0,35.0,3.0,0.0,13.0,7.0,6.0,3.0
2021-07-05,465826,350282.0,115544.0,7242.0,6488.0,754.0,74.0,2.0,,60.0,14.0,2.0,0.0,11.0,8.0,3.0,2.0
2021-07-04,465752,350222.0,115530.0,7240.0,6486.0,754.0,108.0,3.0,,85.0,23.0,3.0,0.0,24.0,19.0,5.0,3.0
2021-07-03,465676,350165.0,115511.0,7237.0,6483.0,754.0,200.0,8.0,,129.0,71.0,7.0,1.0,40.0,25.0,15.0,8.0
2021-07-02,465490,349978.0,115512.0,7229.0,6476.0,753.0,172.0,6.0,,102.0,70.0,4.0,2.0,41.0,18.0,23.0,6.0
2021-07-01,465330,349805.0,115525.0,7223.0,6472.0,751.0,215.0,3.0,,153.0,62.0,3.0,0.0,47.0,30.0,17.0,3.0
2021-06-30,465167,349666.0,115501.0,7220.0,6469.0,751.0,351.0,3.0,,224.0,127.0,3.0,0.0,65.0,46.0,19.0,3.0
2021-06-29,464893,349491.0,115402.0,7217.0,6466.0,751.0,244.0,5.0,,156.0,88.0,4.0,1.0,47.0,27.0,20.0,5.0
2021-06-28,464686,349326.0,115360.0,7212.0,6462.0,750.0,69.0,2.0,,48.0,21.0,2.0,0.0,11.0,9.0,2.0,2.0
2021-06-27,464617,349278.0,115339.0,7210.0,6460.0,750.0,70.0,3.0,,62.0,8.0,3.0,0.0,16.0,12.0,4.0,3.0
2021-06-26,464547,349216.0,115331.0,7207.0,6457.0,750.0,161.0,3.0,,106.0,55.0,2.0,1.0,21.0,10.0,11.0,3.0
2021-06-25,464388,349039.0,115349.0,7204.0,6455.0,749.0,218.0,4.0,,131.0,87.0,4.0,0.0,39.0,27.0,12.0,4.0
2021-06-24,464199,348864.0,115335.0,7200.0,6451.0,749.0,204.0,4.0,,116.0,88.0,2.0,2.0,35.0,22.0,13.0,4.0
2021-06-23,464033,348750.0,115283.0,7196.0,6449.0,747.0,210.0,2.0,,139.0,71.0,2.0,0.0,28.0,19.0,9.0,2.0
2021-06-22,463873,348624.0,115249.0,7194.0,6447.0,747.0,208.0,4.0,,121.0,87.0,4.0,0.0,41.0,19.0,22.0,4.0
2021-06-21,463692,348513.0,115179.0,7190.0,6443.0,747.0,115.0,3.0,,98.0,17.0,3.0,0.0,14.0,12.0,2.0,3.0
2021-06-20,463593,348408.0,115185.0,7187.0,6440.0,747.0,83.0,3.0,,54.0,29.0,2.0,1.0,13.0,8.0,5.0,3.0
